상호명_지점,상권_코드,전용면적,리뷰수,별점,카페_추정매출
홀릭,3120012,90.26154112370006,0.0,,714372819.5491618
이디야커피,3110393,4104.350330913294,19.217391304347824,3.804509803921569,5568187253.582722
태을커피,3120006,1394.8010178729419,188.0,3.6799999999999997,7006620602.352774
커피홀릭,3120194,372.41098394382453,24.0,4.49,2757496043.416163
커피스토리,3110701,454.9529208951735,49.0,4.291250000000001,2041889177.7528784
동네커피,3130072,935.6040908787602,25.5,4.33,7411745478.595156
브라운팩토리,3120062,104.24819127508799,0.0,,1530585944.5700247
커피한잔,3111048,110.05381514370116,708.0,4.6466666666666665,1830053797.8573022
보티,3120007,147.95181771475856,0.0,4.57,1003778480.1481419
통밀로만,3130020,73.54329416785764,0.0,,2036045540.1
금농,3110197,238.48469889315476,0.0,4.42,173363641.0
피피앤에프,3110020,76.5835958706404,0.0,5.0,666310835.8526405
베스트빈,3120196,1510.1997876900539,10.0,4.720000000000001,4517818524.273243
브람스,3120007,83.03702487727755,116.0,3.2649999999999997,1466082336.3205664
이공오도씨,3110021,131.47942350412404,248.0,4.3149999999999995,761777521.859142
Teastory,3120009,528.7512648457222,0.0,4.75,5678089308.275271
Cafe-D55,3120005,50.42769024252768,0.0,4.45,488552333.0575181
마가리,3120013,124.73633251753438,159.0,4.645,1085573972.33206
폴링,3120009,221.87856974819033,0.0,4.49,4030385855.9314547
수래연,3120003,899.9521686531823,6.0,4.475,1425901973.5286334
김종영미술관카페,3110016,564.4442491926998,124.0,4.52,563849849.875964
자스,3120004,230.31515009262347,13.0,4.470000000000001,1662993283.727863
스크웨어,3120003,85.55364340146876,0.0,,773732370.7268292
초당,3120008,108.15865721997567,15458.0,5.0,31992768321.928883
지중해,3120009,163.94215367287802,1114.0,4.5075,25985179220.27679
커피다이어리,3120026,975.6376796394713,1.0,4.0,1571125812.3795319
92도,3120055,67.80116471941756,20.0,4.050000000000001,1784787848.4673123
소소,3130105,981.5259296694235,37.666666666666664,4.766666666666667,4107279273.793558
반달,3110325,288.65673590997926,0.0,4.84,1145175345.6214771
미니찻집,3130012,4209.0667363180555,0.0,,319137971.9782646
카페드람브르,3120006,388.7781557374728,369.5,4.1000000000000005,10716164197.055592
영다방,3120015,115.52907958632498,0.0,,620850425.413801
아리스타,3120127,167.53937415561063,10.75,4.391666666666667,2917238611.0614824
커피브론즈,3120007,54.51110876798287,706.0,4.42,4369733632.395362
합동매점,3130012,4209.0667363180555,0.0,,319137971.9782646
카페지밥,3120005,120.63911406915544,39.0,4.494999999999999,649034021.6263453
카페트루어스,3120006,1394.8010178729419,273.0,4.234999999999999,9132946020.989916
코피발리,3110028,166.31937927887162,41.5,4.47,1829355286.774918
프레드매스,3120003,574.204053192152,47.0,4.705,1582511955.8060277
카페헐리우드,3120008,228.58119306404768,51.0,4.17,1216295403.3855183
커퍼커피,3110022,175.94436242607816,35.0,4.415,1550261332.604562
카페올웨이즈,3120009,93.33958233789178,15.0,3.35,3640026278.5215244
오가다,3120129,4968.254168803591,62.0,4.28,4312197004.245618
쇼콜라디제이,3120003,574.204053192152,110.0,4.48,2188516183.514326
소격동37번지KITCHEN,3120005,53.53487980931659,0.0,4.41,491648951.4267788
카페효제눅,3120013,80.12378447373763,268.0,4.56,1077037416.4040327
지유가오카핫초메,3120007,104.61132973940438,551.0,4.095000000000001,3684917251.5799465
플랜비원,3110015,194.98874453021247,0.0,,719514903.6222887
카페감,3110020,89.1486831777682,28.0,4.795,1342861831.52489
가회한경헌,3110018,75.58870656519098,55.0,4.255,248724900.91376802
언니네다락방,3120012,435.51612851322307,27.0,4.595000000000001,1486764913.8521214
카페통,3120009,528.7512648457222,12.0,3.755,5917937138.88286
라디오엠,3120005,439.7924567331972,438.0,3.46,1893079634.797499
