query,found_name,score,reviewCount
달콤한커피방앗간,달콤한커피방앗간,4.48,0
켈리토스트카페숭실대점,켈리토스트카페 숭실대점,,7
컴포즈커피시흥,컴포즈커피 시흥능곡점,4.38,17
이튼커피,이튼커피,,8
스킵,스킵,,32
떼루와,떼루와 동대문누죤점,4.41,3
키쉬미뇽,키쉬미뇽,4.43,17
더카페,더카페 종각역점,4.6,2
디제르뷔,디제르뷔,4.46,36
쉬즈베이글커피,쉬즈베이글 동덕여대점,,15
키쉬미뇽수유역사점,,,
말레,말레,,2
오앤씨커피,오앤씨커피,,16
달쥬과일상점,달쥬과일상점 강북14호점,,2
선데이아보,선데이아보,,446
328커피,카페1211,4.27,1
플랫카페,플랫카페,,0
이디야신정네거리역점,이디야커피 남부지방법원점,,6
올스톤커피하우스,,,
라일락,라일락,4.13,0
니모스,니모스,4.64,48
더함,더함,4.31,652
와이블랙한성대역점,,,
카페그날,카페그날,,135
아워빌,아워빌,,7
베오밤,베오밤,,39
쁘띠브루통,쁘띠브루통,,34
에슬로우문정,,,
벌크커피,벌크커피 상봉점,,13
소서원,소서원,,294
로로,로로,,0
펠어커피초코,펠어커피초코 수유점,,178
고망고경희대점,,,
니드앤라이크,니드앤라이크,,9
토프레소오!커피랩을지로,,,
오커피랩,오커피랩 을지로입구점,,56
커피를그리다,커피를 그리다,4.89,15
초가집,초가집,4.28,737
과일101,과일101,,0
카페위한,cafe위한,,12
설빙연희점,설빙 연희점,,7
테라커피연희점,테라커피 연희점,,5
카페네이슨,카페네이슨,4.75,3
리틀바잇모어,리틀바잇모어,,89
제이츠커피브루어스,제이츠 커피 브루어스,4.52,248
카페칼디,카페칼디,4.46,1
메가엠지씨커피금천박미,,,
냥카페묘연,,,
메가엠지씨커피양재시민의숲점,,,
릴띵스,릴띵스,,0
과일에반하다프루타,"과일에반하다,프루타 고대점",,5
커피앤스쿱,커피앤스쿱,,48
스컬피,스컬피,,109
마더린러베이글,마더린러 베이글,,"1,062"
메이트아이엔씨주,,,
얼스어스,얼스어스,4.52,"1,428"
쌍커쌍문동커피,쌍문동커피 본점,,34
구관,구관,,25
노란꼬무줄,노란꼬무줄 한티본점,,13
가배공방,가배공방,4.31,11
투고커피,투고커피,4.55,11
업커피,업커피,4.83,11
타임,타임,4.4,3
카페매일이기념일,카페 매일이 기념일,4.64,137
놀숲PC,,,
플리파커피,플리파 커피,,52
코다,코다,,44
선호커피바,선호커피 바,,86
매머드익스프레스잠실나루역점,매머드익스프레스 잠실나루역점,,10
수다,모던한식 수다,4.51,390
아쿠아산타서울숲카페,,,
라이프트리LifeTree,Life Tree,4.44,26
디커피:DCOFFEE,DCOFFEE,4.25,2
래빗,서울래빗,,77
까페카노,호랭이카노,,48
카페온로스터리,카페 온로스터리,,4
카페0691,카페0691,4,1
잔상,잔상,4.93,531
빈플래토,빈플래토,4.26,179
폴바셋반포쌍동빌딩점,폴 바셋 반포쌍동빌딩점,4.52,32
출국,카페 출국,4.45,12
아바,아바,4.46,7
엘벧엘,엘벧엘,4.7,431
바란초커피,바란초커피,,0
정커피숍,정커피숍,,0
아이토르고,,,
문경새재,문경식당,4.33,"2,695"
템포러리가든,템포러리가든,,17
오스트리치,오스트리치,,3
요거해,요거해요,,14
유니동화,,,
더리터사가정역점,더리터 사가정역점,,5
마리스,마리스,,3
피카피카,피카피카,,14
레몬드,레몬드,4.82,67
숨,숨,,31
커피빈방배역점,커피빈 교대법원점,4.38,33
쥬씨역삼상록회관점,쥬씨 역삼상록회관점,4.29,9
성북시니어클럽커피정원성북50+,,,
불암골행복발전소운영위원회,,,
생각나는샌드위치&빙수카페,,,
방화동커피볶는집,방화동커피볶는집 방화점,4.24,14
작업실,작업실,,101
카페;사근,카페사근,4.46,20
교대커피,아펜즈커피 서초교대점,4.53,601
CJCGV천호투썸플러스,,,
텐퍼센트스페셜티커피,텐퍼센트커피 돈암점,,18
쥬씨굽은다리역점,쥬씨 굽은다리역점,4.27,10
업스탠딩,업스탠딩,,642
에이요커피,에이요커피,,189
호호플,,,
더조커,,,
카페쉘터,버터앤쉘터 연남점,,922
달디단,달디단,,0
뮈에,뮈에,4.41,910
매머드익스프레스서초효령로점,매머드 익스프레스 서초효령로점,,12
카페리,카페리,4.7,23
미제,미제마라탕,,17
세컨하우스,세컨하우스,,337
커피벨,커피벨,4.52,8
홍스커피홍，sCoffee,,,
기공,기공,,180
카피바라커피랩,카피바라 커피랩,,14
카페포텐셜,로스터리 카페 포텐셜,4.64,70
카페애비뉴,카페어베뉴,4.15,5
몽슈까페,카페 몽슈,,2
아마레스커피,,,
필무인카페,필무인카페,,1
카페도림동,카페도림동,4.59,24
원스쿱프로틴하우스,원스쿱 프로틴하우스,4.9,91
미스터고트,미스터고트,4.36,54
라운지223,Lounge374,5,10
커피빈방이역4번출구점,,,
텐퍼센트커피방이역점,텐퍼센트커피 방이역점,,3
덕인,덕인,3.7,7
설빙카페홍제역점,설빙 홍제역점,,16
은하수커피호프,은하수커피호프,5,0
카페나의하루는,,,
정다방,정다방,4.13,2
신월커피,포러리,,24
콘디스코,콘디스코,,33
에이블커피그룹,,,
Coffe소,,,
237플랫폼카페,237플랫폼 카페,4.42,44
아쿠아렐,아쿠아렐 드로잉카페,4.88,56
카페플라워,플로리안,4.26,35
플로라,플로라,4.44,4
티앤아이1010,티앤아이1010,,168
젠,젠 중국집,4.17,24
달콤커피이수역점,달콤커피 이수역점,,26
그린플라워페스츄리,,,
아몬드블루,아몬드블루,4.33,0
오렌지플래닛,오렌지 플래닛,4.91,37
쌍문볼링장카페,,,
런던할머니집,,,
블랙우드,블랙우드 카페,4.36,11
메가엠지씨커피가양초점,,,
카페온,카페온,4.56,95
루비의정원,루비의정원,,58
사이프러스,사이프러스,,20
와플앨리,와플앨리,4.55,362
뉴앤커피,뉴앤커피,5,22
놀숲플러스,,,
플라비우스,플라비우스,4.42,1
클로리스,클로리스 역삼 GFC점,4.51,715
